0918000000214,2.8;
0064100048114,0;
1215100015614,1.4;
0916900000314,2.8;
0064100048214,0;
1215100015714,3.6;
0917700000214,2.8;
0064100048314,0;
0917800000214,2.8;
0064100048414,0;
0917900000214,2.8;
1857200003914,0.5333;
1857800002114,0.2;
1215100015814,3.6;
1857600002614,0.0;
2510100001814,0;
1613100001314,0.2;
0917100000214,2.8;
0917200000214,2.8;
0001600004514,0.2;
0918600000214,2.8;
0917300000214,2.8;
1215100015914,3.6;
0918400000214,2.8;
0918100000214,2.8;
1215100016014,0.8;
0917400000214,2.8;
0917600000414,0;
0917500000214,2.8;
0918200000214,2.8;
0945100001114,2.8;
0908500000414,2.8;
0918300000414,0;
0810000000314,2.8;
0608400000214,2.8;
0495000000814,2.8;
0680000000414,2.8;
0630500000214,2.8;
1215100016114,0.8;
0632000000314,2.8;
0632500000414,2.8;
0912000001114,2.8;
1215100016214,0.8;
0064100048514,0;
0636300000214,2.8;
0063700006414,3.7333;
1106300000314,2.8;
1106500000214,2.8;
1215100016314,1.0;
1112100000314,2.8;
1110800000214,2.8;
1215100016414,1.0;
1110100000214,2.8;
1108300000214,2.8;
0064100048614,0;
0918000000314,0;
1108000000314,2.8;
1215100016514,1.0;
1110200000314,2.8;
1108800000214,2.8;
1215100016614,1.0;
1111100000214,2.8;
1110300000214,2.8;
0001100005114,-0.2333;
0064100048714,0;
0063700006514,0;
1108500000214,2.8;
1110600000314,2.8;
1109000000214,2.8;
0064100048814,0;
0410000000614,2.8;
1110700000214,2.8;
1111000000414,2.8;
1110000000214,2.8;
1009500000214,2.8;
0064100048914,0;
0413000000814,2.8;
1209000000214,2.8;
0064100049014,0;
1210000000314,2.8;
1110500000214,2.8;
1110400000214,2.8;
1111500000514,2.8;
0814000000214,2.8;
1112500000414,2.8;
0860900000214,2.8;
1113500000214,2.8;
0064100049114,0;
1011100000314,2.8;
0064100049214,0;
1222600001614,0;
1816400006714,2.8;
1014100000214,2.8;
0912100000514,2.8;
0064100049314,0;
0410000000714,2.1;
0908500000514,0.0;
1215100016714,1.0;
0064100049414,0;
0064100049514,0;
1215100016814,2.8;
0210000002614,2.2002;
0610000001014,2.8;
1816400006814,1.2;
0001300000814,0.0;
0819700000514,2.8;
4220700000514,2.8;
1615100000514,2.8;
0062500000414,1.2;
1113100001314,2.8;
1800100000314,2.8;
1857600002714,0.0;
1113700000414,2.8;
1407500000414,2.8;
1210200000314,2.8;
